#OS_ID, MET, file, BGO_0_N, BGO_1_N, NAI_N, Date, UTC, Width_ms, P2, Lon, Lat, Alt, LST, TRIG_ID
oTGF080807357, 239790805.180500, glg_tte_b0_bn080807357_v02, 74, 10, 252, 2008-08-07, 08:33:24.18050, 2.000000, 3.74E-281, 253.0063, +15.3954, 551.48, 0.055, tTGF080807357
oTGF080828449, 241613191.259895, glg_tte_b0_bn080828449_v01, 27, 28, 186, 2008-08-28, 10:46:30.25989, 0.141000, 0.00, 87.7125, +23.7712, 542.51, 0.692, tTGF080828449
oTGF081001392, 244545885.913770, glg_tte_b0_bn081001392_v04, 37, 35, 176, 2008-10-01, 09:24:44.9137, 0.632000, NULL, 162.6720, +10.5345, 540.10, 0.851, tTGF081001392
oTGF081006797, 245012891.744344, glg_tte_b0_bn081006797_v01, 37, 38, 158, 2008-10-06, 19:08:10.74434, 0.283000, 3.12E-337, 159.7019, -12.5054, 553.22, 0.249, tTGF081006797
oTGF081025691, 246645286.548028, glg_tte_b0_bn081025691_v01, 25, 26, 186, 2008-10-25, 16:34:45.54802, 0.141000, 0.00, 26.8669, -1.1306, 558.55, 0.777, tTGF081025691
oTGF081113322, 248255045.236800, glg_tte_b0_bn081113322_v01, 22, 21, 89, 2008-11-13, 07:44:04.23680, 0.200000, 6.21E-191, 7.3250, +2.9078, 539.86, 0.354, tTGF081113322
oTGF081123874, 249166723.321200, glg_tte_b0_bn081123874_v01, 24, 27, 159, 2008-11-23, 20:58:42.32120, 0.200000, 6.17E-334, 129.8764, -16.0390, 552.68, 0.244, tTGF081123874
oTGF081223051, 251687595.652514, glg_tte_b0_bn081223051_v02, 47, 49, 198, 2008-12-23, 01:13:14.65251, 0.632000, 3.00E-343, 203.3267, -17.0177, 548.44, 0.616, tTGF081223051
oTGF090203356, 255342766.368750, glg_tte_b0_bn090203356_v01, 53, 60, 181, 2009-02-03, 08:32:44.36875, 1.000000, 7.08E-304, 125.8592, -16.7933, 563.40, 0.696, tTGF090203356
oTGF090510498, 263649437.983000, glg_tte_b0_bn090510498_v00, 30, 31, 143, 2009-05-10, 11:57:15.98300, 2.000000, 2.54E-132, 24.0760, -5.2838, 556.39, 0.567, tTGF090510498
