#TRIG_ID, MET, Date, UTC, Lon, Lat, Alt, Algor, TSig, LST_Frac, LST, OS_ID
tTGF080807357, 239790805.191042, 2008-08-07, 08:33:24.191042, 253.0069, +15.3956, 551.48, 43, 0.0, 0.055, 01:20, oTGF080807357
tTGF080828449, 241613191.271448, 2008-08-28, 10:46:30.271448, 87.7133, +23.7713, 542.51, 43, 0.0, 0.692, 16:36, oTGF080828449
tTGF081001392, 244545885.927230, 2008-10-01, 09:24:44.927230, 162.6727, +10.5348, 540.10, 43, 0.0, 0.851, 20:26, oTGF081001392
tTGF081006797, 245012891.745324, 2008-10-06, 19:08:10.745324, 159.7019, -12.5054, 553.22, 43, 8.4, 0.249, 05:59, oTGF081006797
tTGF081025691, 246645286.557752, 2008-10-25, 16:34:45.557752, 26.8674, -1.1309, 558.55, 1, 10.5, 0.777, 18:38, oTGF081025691
tTGF081113322, 248255045.238298, 2008-11-13, 07:44:04.238298, 7.3250, +2.9078, 539.86, 50, 9.0, 0.354, 08:29, oTGF081113322
tTGF081123874, 249166723.331554, 2008-11-23, 20:58:42.331554, 129.8770, -16.0392, 552.68, 43, 9.0, 0.244, 05:52, oTGF081123874
tTGF081223051, 251687595.665124, 2008-12-23, 01:13:14.665124, 203.3275, -17.0180, 548.44, 43, 8.7, 0.616, 14:47, oTGF081223051
tTGF090203356, 255342766.380242, 2009-02-03, 08:32:44.380242, 125.8599, -16.7935, 563.40, 43, 8.8, 0.696, 16:42, oTGF090203356
tTGF090510498, 263649437.985436, 2009-05-10, 11:57:15.985436, 24.0762, -5.2839, 556.39, 43, 8.9, 0.567, 13:37, oTGF090510498
tTGF090522190, 264659628.890568, 2009-05-22, 04:33:46.890568, 167.1102, -19.2105, 557.72, 43, 8.7, 0.657, 15:46, oTGF090522190
tTGF090627274, 267777290.325250, 2009-06-27, 06:34:48.325250, 281.7990, +8.1535, 554.56, 43, 8.8, 0.055, 01:19, oTGF090627274c
tTGF090808739, 271446248.096946, 2009-08-08, 17:44:06.096946, 301.0571, +3.8178, 557.83, 43, 10.2, 0.571, 13:43, oTGF090808739a
tTGF090813215, 271833016.790074, 2009-08-13, 05:10:14.790074, 278.2841, -2.2039, 547.75, 43, 23.4, 0.985, 23:39, oTGF090813215
tTGF090828147, 273123112.217748, 2009-08-28, 03:31:50.217748, 252.8429, +22.7886, 559.06, 43, 8.7, 0.849, 20:22, oTGF090828147
tTGF091116633, 280077133.150782, 2009-11-16, 15:12:11.150782, 123.1092, +3.9176, 546.69, 43, 8.0, 0.986, 23:40, oTGF091116633
tTGF091118985, 280280333.984956, 2009-11-18, 23:38:51.984956, 148.8205, +0.6226, 545.42, 119, 5.6, 0.409, 09:49, oTGF091118985
